# Renewables.ninja Solar PV (Point API) - -23.663, -70.397 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in America/Santiago, electricity in kW
# {"units": {"time": "UTC", "local_time": "America/Santiago", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "-23.66322974877665", "lon": "-70.39735365779177", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1000", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": false}}
time,local_time,electricity
2020-01-01 00:00,2019-12-31 21:00,0
2020-01-01 01:00,2019-12-31 22:00,0
2020-01-01 02:00,2019-12-31 23:00,0
2020-01-01 03:00,2020-01-01 00:00,0
2020-01-01 04:00,2020-01-01 01:00,0
2020-01-01 05:00,2020-01-01 02:00,0
2020-01-01 06:00,2020-01-01 03:00,0
2020-01-01 07:00,2020-01-01 04:00,0
2020-01-01 08:00,2020-01-01 05:00,0
2020-01-01 09:00,2020-01-01 06:00,0
2020-01-01 10:00,2020-01-01 07:00,25.105
2020-01-01 11:00,2020-01-01 08:00,120.039
2020-01-01 12:00,2020-01-01 09:00,316.137
2020-01-01 13:00,2020-01-01 10:00,491.832
2020-01-01 14:00,2020-01-01 11:00,621.303
2020-01-01 15:00,2020-01-01 12:00,698.043
2020-01-01 16:00,2020-01-01 13:00,733.600
2020-01-01 17:00,2020-01-01 14:00,720.883
2020-01-01 18:00,2020-01-01 15:00,652.609
2020-01-01 19:00,2020-01-01 16:00,520.439
2020-01-01 20:00,2020-01-01 17:00,326.523
2020-01-01 21:00,2020-01-01 18:00,158.266
2020-01-01 22:00,2020-01-01 19:00,49.724
2020-01-01 23:00,2020-01-01 20:00,0.035
2020-01-02 00:00,2020-01-01 21:00,0
2020-01-02 01:00,2020-01-01 22:00,0
2020-01-02 02:00,2020-01-01 23:00,0
2020-01-02 03:00,2020-01-02 00:00,0
2020-01-02 04:00,2020-01-02 01:00,0
2020-01-02 05:00,2020-01-02 02:00,0
2020-01-02 06:00,2020-01-02 03:00,0
2020-01-02 07:00,2020-01-02 04:00,0
2020-01-02 08:00,2020-01-02 05:00,0
2020-01-02 09:00,2020-01-02 06:00,0
2020-01-02 10:00,2020-01-02 07:00,27.495
2020-01-02 11:00,2020-01-02 08:00,124.951
2020-01-02 12:00,2020-01-02 09:00,314.437
2020-01-02 13:00,2020-01-02 10:00,491.337
2020-01-02 14:00,2020-01-02 11:00,625.135
2020-01-02 15:00,2020-01-02 12:00,708.365
2020-01-02 16:00,2020-01-02 13:00,739.799
2020-01-02 17:00,2020-01-02 14:00,708.034
2020-01-02 18:00,2020-01-02 15:00,616.975
2020-01-02 19:00,2020-01-02 16:00,466.082
2020-01-02 20:00,2020-01-02 17:00,304.199
2020-01-02 21:00,2020-01-02 18:00,158.369
2020-01-02 22:00,2020-01-02 19:00,49.393
2020-01-02 23:00,2020-01-02 20:00,0
2020-01-03 00:00,2020-01-02 21:00,0
2020-01-03 01:00,2020-01-02 22:00,0
2020-01-03 02:00,2020-01-02 23:00,0
2020-01-03 03:00,2020-01-03 00:00,0
2020-01-03 04:00,2020-01-03 01:00,0
2020-01-03 05:00,2020-01-03 02:00,0
2020-01-03 06:00,2020-01-03 03:00,0
2020-01-03 07:00,2020-01-03 04:00,0
2020-01-03 08:00,2020-01-03 05:00,0
2020-01-03 09:00,2020-01-03 06:00,0
2020-01-03 10:00,2020-01-03 07:00,25.684
2020-01-03 11:00,2020-01-03 08:00,116.460
2020-01-03 12:00,2020-01-03 09:00,314.839
2020-01-03 13:00,2020-01-03 10:00,494.477
2020-01-03 14:00,2020-01-03 11:00,626.433
2020-01-03 15:00,2020-01-03 12:00,708.858
2020-01-03 16:00,2020-01-03 13:00,743.061
2020-01-03 17:00,2020-01-03 14:00,730.139
2020-01-03 18:00,2020-01-03 15:00,669.005
2020-01-03 19:00,2020-01-03 16:00,555.603
2020-01-03 20:00,2020-01-03 17:00,395.013
2020-01-03 21:00,2020-01-03 18:00,203.640
2020-01-03 22:00,2020-01-03 19:00,39.710
2020-01-03 23:00,2020-01-03 20:00,0.387
2020-01-04 00:00,2020-01-03 21:00,0
2020-01-04 01:00,2020-01-03 22:00,0
2020-01-04 02:00,2020-01-03 23:00,0
2020-01-04 03:00,2020-01-04 00:00,0
2020-01-04 04:00,2020-01-04 01:00,0
2020-01-04 05:00,2020-01-04 02:00,0
2020-01-04 06:00,2020-01-04 03:00,0
2020-01-04 07:00,2020-01-04 04:00,0
2020-01-04 08:00,2020-01-04 05:00,0
2020-01-04 09:00,2020-01-04 06:00,0
2020-01-04 10:00,2020-01-04 07:00,26.622
2020-01-04 11:00,2020-01-04 08:00,119.229
2020-01-04 12:00,2020-01-04 09:00,306.313
2020-01-04 13:00,2020-01-04 10:00,483.493
2020-01-04 14:00,2020-01-04 11:00,616.058
2020-01-04 15:00,2020-01-04 12:00,703.522
2020-01-04 16:00,2020-01-04 13:00,743.155
2020-01-04 17:00,2020-01-04 14:00,730.485
2020-01-04 18:00,2020-01-04 15:00,667.398
2020-01-04 19:00,2020-01-04 16:00,553.376
2020-01-04 20:00,2020-01-04 17:00,394.017
2020-01-04 21:00,2020-01-04 18:00,205.758
2020-01-04 22:00,2020-01-04 19:00,47.292
2020-01-04 23:00,2020-01-04 20:00,0.293
2020-01-05 00:00,2020-01-04 21:00,0
2020-01-05 01:00,2020-01-04 22:00,0
2020-01-05 02:00,2020-01-04 23:00,0
2020-01-05 03:00,2020-01-05 00:00,0
2020-01-05 04:00,2020-01-05 01:00,0
2020-01-05 05:00,2020-01-05 02:00,0
2020-01-05 06:00,2020-01-05 03:00,0
