# Renewables.ninja Solar PV (Point API) - -37.794, -73.584 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in America/Santiago, electricity in kW
# {"units": {"time": "UTC", "local_time": "America/Santiago", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "-37.7939350535433", "lon": "-73.58354841854467", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1000", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": false}}
time,local_time,electricity
2020-01-01 00:00,2019-12-31 21:00,0
2020-01-01 01:00,2019-12-31 22:00,0
2020-01-01 02:00,2019-12-31 23:00,0
2020-01-01 03:00,2020-01-01 00:00,0
2020-01-01 04:00,2020-01-01 01:00,0
2020-01-01 05:00,2020-01-01 02:00,0
2020-01-01 06:00,2020-01-01 03:00,0
2020-01-01 07:00,2020-01-01 04:00,0
2020-01-01 08:00,2020-01-01 05:00,0
2020-01-01 09:00,2020-01-01 06:00,0
2020-01-01 10:00,2020-01-01 07:00,44.395
2020-01-01 11:00,2020-01-01 08:00,175.321
2020-01-01 12:00,2020-01-01 09:00,380.763
2020-01-01 13:00,2020-01-01 10:00,561.165
2020-01-01 14:00,2020-01-01 11:00,696.528
2020-01-01 15:00,2020-01-01 12:00,784.361
2020-01-01 16:00,2020-01-01 13:00,824.508
2020-01-01 17:00,2020-01-01 14:00,819.972
2020-01-01 18:00,2020-01-01 15:00,771.498
2020-01-01 19:00,2020-01-01 16:00,674.751
2020-01-01 20:00,2020-01-01 17:00,531.787
2020-01-01 21:00,2020-01-01 18:00,348.067
2020-01-01 22:00,2020-01-01 19:00,149.828
2020-01-01 23:00,2020-01-01 20:00,35.469
2020-01-02 00:00,2020-01-01 21:00,0
2020-01-02 01:00,2020-01-01 22:00,0
2020-01-02 02:00,2020-01-01 23:00,0
2020-01-02 03:00,2020-01-02 00:00,0
2020-01-02 04:00,2020-01-02 01:00,0
2020-01-02 05:00,2020-01-02 02:00,0
2020-01-02 06:00,2020-01-02 03:00,0
2020-01-02 07:00,2020-01-02 04:00,0
2020-01-02 08:00,2020-01-02 05:00,0
2020-01-02 09:00,2020-01-02 06:00,0
2020-01-02 10:00,2020-01-02 07:00,43.567
2020-01-02 11:00,2020-01-02 08:00,174.335
2020-01-02 12:00,2020-01-02 09:00,379.516
2020-01-02 13:00,2020-01-02 10:00,558.436
2020-01-02 14:00,2020-01-02 11:00,691.425
2020-01-02 15:00,2020-01-02 12:00,777.339
2020-01-02 16:00,2020-01-02 13:00,816.415
2020-01-02 17:00,2020-01-02 14:00,811.734
2020-01-02 18:00,2020-01-02 15:00,763.037
2020-01-02 19:00,2020-01-02 16:00,667.665
2020-01-02 20:00,2020-01-02 17:00,526.087
2020-01-02 21:00,2020-01-02 18:00,344.765
2020-01-02 22:00,2020-01-02 19:00,149.050
2020-01-02 23:00,2020-01-02 20:00,34.957
2020-01-03 00:00,2020-01-02 21:00,0
2020-01-03 01:00,2020-01-02 22:00,0
2020-01-03 02:00,2020-01-02 23:00,0
2020-01-03 03:00,2020-01-03 00:00,0
2020-01-03 04:00,2020-01-03 01:00,0
2020-01-03 05:00,2020-01-03 02:00,0
2020-01-03 06:00,2020-01-03 03:00,0
2020-01-03 07:00,2020-01-03 04:00,0
2020-01-03 08:00,2020-01-03 05:00,0
2020-01-03 09:00,2020-01-03 06:00,0
2020-01-03 10:00,2020-01-03 07:00,45.977
2020-01-03 11:00,2020-01-03 08:00,172.659
2020-01-03 12:00,2020-01-03 09:00,374.540
2020-01-03 13:00,2020-01-03 10:00,552.562
2020-01-03 14:00,2020-01-03 11:00,687.535
2020-01-03 15:00,2020-01-03 12:00,774.607
2020-01-03 16:00,2020-01-03 13:00,813.588
2020-01-03 17:00,2020-01-03 14:00,806.665
2020-01-03 18:00,2020-01-03 15:00,761.512
2020-01-03 19:00,2020-01-03 16:00,660.682
2020-01-03 20:00,2020-01-03 17:00,518.125
2020-01-03 21:00,2020-01-03 18:00,343.395
2020-01-03 22:00,2020-01-03 19:00,150.292
2020-01-03 23:00,2020-01-03 20:00,35.885
2020-01-04 00:00,2020-01-03 21:00,0
2020-01-04 01:00,2020-01-03 22:00,0
2020-01-04 02:00,2020-01-03 23:00,0
2020-01-04 03:00,2020-01-04 00:00,0
2020-01-04 04:00,2020-01-04 01:00,0
2020-01-04 05:00,2020-01-04 02:00,0
2020-01-04 06:00,2020-01-04 03:00,0
2020-01-04 07:00,2020-01-04 04:00,0
2020-01-04 08:00,2020-01-04 05:00,0
2020-01-04 09:00,2020-01-04 06:00,0
2020-01-04 10:00,2020-01-04 07:00,47.791
2020-01-04 11:00,2020-01-04 08:00,171.809
2020-01-04 12:00,2020-01-04 09:00,392.720
2020-01-04 13:00,2020-01-04 10:00,583.760
2020-01-04 14:00,2020-01-04 11:00,726.137
2020-01-04 15:00,2020-01-04 12:00,814.633
2020-01-04 16:00,2020-01-04 13:00,852.544
2020-01-04 17:00,2020-01-04 14:00,844.090
2020-01-04 18:00,2020-01-04 15:00,794.355
2020-01-04 19:00,2020-01-04 16:00,692.015
2020-01-04 20:00,2020-01-04 17:00,544.119
2020-01-04 21:00,2020-01-04 18:00,356.241
2020-01-04 22:00,2020-01-04 19:00,152.403
2020-01-04 23:00,2020-01-04 20:00,34.054
2020-01-05 00:00,2020-01-04 21:00,0
2020-01-05 01:00,2020-01-04 22:00,0
2020-01-05 02:00,2020-01-04 23:00,0
2020-01-05 03:00,2020-01-05 00:00,0
2020-01-05 04:00,2020-01-05 01:00,0
2020-01-05 05:00,2020-01-05 02:00,0
