# Renewables.ninja Solar PV (Point API) - -53.205, -70.997 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in America/Punta_Arenas, electricity in kW
# {"units": {"time": "UTC", "local_time": "America/Punta_Arenas", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "-53.204742539682115", "lon": "-70.99700931815268", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1000", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": false}}
time,local_time,electricity
2020-01-01 00:00,2019-12-31 21:00,18.126
2020-01-01 01:00,2019-12-31 22:00,0
2020-01-01 02:00,2019-12-31 23:00,0
2020-01-01 03:00,2020-01-01 00:00,0
2020-01-01 04:00,2020-01-01 01:00,0
2020-01-01 05:00,2020-01-01 02:00,0
2020-01-01 06:00,2020-01-01 03:00,0
2020-01-01 07:00,2020-01-01 04:00,0
2020-01-01 08:00,2020-01-01 05:00,0.705
2020-01-01 09:00,2020-01-01 06:00,44.563
2020-01-01 10:00,2020-01-01 07:00,122.782
2020-01-01 11:00,2020-01-01 08:00,269.341
2020-01-01 12:00,2020-01-01 09:00,426.790
2020-01-01 13:00,2020-01-01 10:00,536.663
2020-01-01 14:00,2020-01-01 11:00,572.869
2020-01-01 15:00,2020-01-01 12:00,573.367
2020-01-01 16:00,2020-01-01 13:00,547.520
2020-01-01 17:00,2020-01-01 14:00,527.196
2020-01-01 18:00,2020-01-01 15:00,363.938
2020-01-01 19:00,2020-01-01 16:00,414.800
2020-01-01 20:00,2020-01-01 17:00,371.746
2020-01-01 21:00,2020-01-01 18:00,247.662
2020-01-01 22:00,2020-01-01 19:00,147.377
2020-01-01 23:00,2020-01-01 20:00,47.511
2020-01-02 00:00,2020-01-01 21:00,4.914
2020-01-02 01:00,2020-01-01 22:00,0
2020-01-02 02:00,2020-01-01 23:00,0
2020-01-02 03:00,2020-01-02 00:00,0
2020-01-02 04:00,2020-01-02 01:00,0
2020-01-02 05:00,2020-01-02 02:00,0
2020-01-02 06:00,2020-01-02 03:00,0
2020-01-02 07:00,2020-01-02 04:00,0
2020-01-02 08:00,2020-01-02 05:00,0
2020-01-02 09:00,2020-01-02 06:00,18.764
2020-01-02 10:00,2020-01-02 07:00,65.626
2020-01-02 11:00,2020-01-02 08:00,131.678
2020-01-02 12:00,2020-01-02 09:00,187.364
2020-01-02 13:00,2020-01-02 10:00,583.499
2020-01-02 14:00,2020-01-02 11:00,732.980
2020-01-02 15:00,2020-01-02 12:00,813.604
2020-01-02 16:00,2020-01-02 13:00,842.699
