# Renewables.ninja Wind (Point API) - -23.646, -70.398 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Santiago, electricity in kW
# {"units": {"time": "UTC", "local_time": "America/Santiago", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "-23.6463741", "lon": "-70.3980033", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "height": "100", "turbine": "Vestas V90 2000", "raw": false}}
time,local_time,electricity
2019-01-01 00:00,2018-12-31 21:00,8.015
2019-01-01 01:00,2018-12-31 22:00,0.524
2019-01-01 02:00,2018-12-31 23:00,0.093
2019-01-01 03:00,2019-01-01 00:00,0.050
2019-01-01 04:00,2019-01-01 01:00,0.064
2019-01-01 05:00,2019-01-01 02:00,0.116
2019-01-01 06:00,2019-01-01 03:00,0.426
2019-01-01 07:00,2019-01-01 04:00,1.124
2019-01-01 08:00,2019-01-01 05:00,2.410
2019-01-01 09:00,2019-01-01 06:00,1.599
2019-01-01 10:00,2019-01-01 07:00,0.512
2019-01-01 11:00,2019-01-01 08:00,0.046
2019-01-01 12:00,2019-01-01 09:00,0.040
2019-01-01 13:00,2019-01-01 10:00,1.434
2019-01-01 14:00,2019-01-01 11:00,6.775
2019-01-01 15:00,2019-01-01 12:00,16.955
2019-01-01 16:00,2019-01-01 13:00,39.387
2019-01-01 17:00,2019-01-01 14:00,68.592
2019-01-01 18:00,2019-01-01 15:00,100.756
2019-01-01 19:00,2019-01-01 16:00,129.953
2019-01-01 20:00,2019-01-01 17:00,159.820
2019-01-01 21:00,2019-01-01 18:00,152.948
2019-01-01 22:00,2019-01-01 19:00,98.613
2019-01-01 23:00,2019-01-01 20:00,47.706
2019-01-02 00:00,2019-01-01 21:00,14.219
2019-01-02 01:00,2019-01-01 22:00,0.916
2019-01-02 02:00,2019-01-01 23:00,2.367
2019-01-02 03:00,2019-01-02 00:00,2.141
2019-01-02 04:00,2019-01-02 01:00,3.145
2019-01-02 05:00,2019-01-02 02:00,6.324
2019-01-02 06:00,2019-01-02 03:00,4.781
2019-01-02 07:00,2019-01-02 04:00,2.189
2019-01-02 08:00,2019-01-02 05:00,0.576
2019-01-02 09:00,2019-01-02 06:00,0.013
2019-01-02 10:00,2019-01-02 07:00,0.009
2019-01-02 11:00,2019-01-02 08:00,0.025
2019-01-02 12:00,2019-01-02 09:00,0.001
2019-01-02 13:00,2019-01-02 10:00,0
2019-01-02 14:00,2019-01-02 11:00,0.359
2019-01-02 15:00,2019-01-02 12:00,11.933
2019-01-02 16:00,2019-01-02 13:00,45.683
2019-01-02 17:00,2019-01-02 14:00,95.678
2019-01-02 18:00,2019-01-02 15:00,120.750
2019-01-02 19:00,2019-01-02 16:00,137.619
2019-01-02 20:00,2019-01-02 17:00,171.602
2019-01-02 21:00,2019-01-02 18:00,201.456
2019-01-02 22:00,2019-01-02 19:00,211.834
2019-01-02 23:00,2019-01-02 20:00,177.440
2019-01-03 00:00,2019-01-02 21:00,104.598
2019-01-03 01:00,2019-01-02 22:00,37.753
2019-01-03 02:00,2019-01-02 23:00,7.503
2019-01-03 03:00,2019-01-03 00:00,0.361
2019-01-03 04:00,2019-01-03 01:00,0.006
2019-01-03 05:00,2019-01-03 02:00,1.294
2019-01-03 06:00,2019-01-03 03:00,2.367
2019-01-03 07:00,2019-01-03 04:00,0.690
2019-01-03 08:00,2019-01-03 05:00,0.073
2019-01-03 09:00,2019-01-03 06:00,0.007
2019-01-03 10:00,2019-01-03 07:00,0.001
2019-01-03 11:00,2019-01-03 08:00,0.037
2019-01-03 12:00,2019-01-03 09:00,0.046
