# Renewables.ninja Wind (Point API) - -37.794, -73.584 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Santiago, electricity in kW
# {"units": {"time": "UTC", "local_time": "America/Santiago", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "-37.7939350535433", "lon": "-73.58354841854467", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1000", "height": "150", "turbine": "Vestas V90 2000", "raw": false}}
time,local_time,electricity
2020-01-01 00:00,2019-12-31 21:00,765.324
2020-01-01 01:00,2019-12-31 22:00,682.175
2020-01-01 02:00,2019-12-31 23:00,635.428
2020-01-01 03:00,2020-01-01 00:00,615.325
2020-01-01 04:00,2020-01-01 01:00,637.960
2020-01-01 05:00,2020-01-01 02:00,669.209
2020-01-01 06:00,2020-01-01 03:00,681.406
2020-01-01 07:00,2020-01-01 04:00,651.151
2020-01-01 08:00,2020-01-01 05:00,596.705
2020-01-01 09:00,2020-01-01 06:00,544.817
2020-01-01 10:00,2020-01-01 07:00,431.859
2020-01-01 11:00,2020-01-01 08:00,355.033
2020-01-01 12:00,2020-01-01 09:00,274.371
2020-01-01 13:00,2020-01-01 10:00,211.451
2020-01-01 14:00,2020-01-01 11:00,202.546
2020-01-01 15:00,2020-01-01 12:00,243.236
2020-01-01 16:00,2020-01-01 13:00,321.277
2020-01-01 17:00,2020-01-01 14:00,395.063
2020-01-01 18:00,2020-01-01 15:00,419.549
2020-01-01 19:00,2020-01-01 16:00,407.272
2020-01-01 20:00,2020-01-01 17:00,388.114
2020-01-01 21:00,2020-01-01 18:00,400.493
2020-01-01 22:00,2020-01-01 19:00,444.255
2020-01-01 23:00,2020-01-01 20:00,485.756
2020-01-02 00:00,2020-01-01 21:00,492.170
2020-01-02 01:00,2020-01-01 22:00,448.326
2020-01-02 02:00,2020-01-01 23:00,408.898
2020-01-02 03:00,2020-01-02 00:00,372.007
2020-01-02 04:00,2020-01-02 01:00,355.000
2020-01-02 05:00,2020-01-02 02:00,361.592
2020-01-02 06:00,2020-01-02 03:00,380.828
2020-01-02 07:00,2020-01-02 04:00,408.130
2020-01-02 08:00,2020-01-02 05:00,431.884
2020-01-02 09:00,2020-01-02 06:00,431.907
2020-01-02 10:00,2020-01-02 07:00,345.118
2020-01-02 11:00,2020-01-02 08:00,272.007
2020-01-02 12:00,2020-01-02 09:00,261.376
2020-01-02 13:00,2020-01-02 10:00,232.931
2020-01-02 14:00,2020-01-02 11:00,221.506
2020-01-02 15:00,2020-01-02 12:00,225.219
2020-01-02 16:00,2020-01-02 13:00,264.782
2020-01-02 17:00,2020-01-02 14:00,343.246
2020-01-02 18:00,2020-01-02 15:00,431.892
2020-01-02 19:00,2020-01-02 16:00,505.270
2020-01-02 20:00,2020-01-02 17:00,577.717
2020-01-02 21:00,2020-01-02 18:00,655.905
2020-01-02 22:00,2020-01-02 19:00,733.316
2020-01-02 23:00,2020-01-02 20:00,774.323
2020-01-03 00:00,2020-01-02 21:00,724.268
2020-01-03 01:00,2020-01-02 22:00,648.096
2020-01-03 02:00,2020-01-02 23:00,557.883
2020-01-03 03:00,2020-01-03 00:00,522.619
2020-01-03 04:00,2020-01-03 01:00,534.714
2020-01-03 05:00,2020-01-03 02:00,555.142
2020-01-03 06:00,2020-01-03 03:00,585.615
2020-01-03 07:00,2020-01-03 04:00,617.865
2020-01-03 08:00,2020-01-03 05:00,630.449
2020-01-03 09:00,2020-01-03 06:00,631.368
2020-01-03 10:00,2020-01-03 07:00,571.104
2020-01-03 11:00,2020-01-03 08:00,571.104
2020-01-03 12:00,2020-01-03 09:00,580.276
2020-01-03 13:00,2020-01-03 10:00,647.489
2020-01-03 14:00,2020-01-03 11:00,725.825
2020-01-03 15:00,2020-01-03 12:00,777.478
2020-01-03 16:00,2020-01-03 13:00,811.962
2020-01-03 17:00,2020-01-03 14:00,836.935
2020-01-03 18:00,2020-01-03 15:00,850.571
2020-01-03 19:00,2020-01-03 16:00,864.614
2020-01-03 20:00,2020-01-03 17:00,874.079
2020-01-03 21:00,2020-01-03 18:00,889.706
2020-01-03 22:00,2020-01-03 19:00,902.334
2020-01-03 23:00,2020-01-03 20:00,896.327
2020-01-04 00:00,2020-01-03 21:00,845.456
2020-01-04 01:00,2020-01-03 22:00,815.742
2020-01-04 02:00,2020-01-03 23:00,835.112
2020-01-04 03:00,2020-01-04 00:00,832.325
2020-01-04 04:00,2020-01-04 01:00,848.544
2020-01-04 05:00,2020-01-04 02:00,855.934
2020-01-04 06:00,2020-01-04 03:00,894.561
2020-01-04 07:00,2020-01-04 04:00,908.762
2020-01-04 08:00,2020-01-04 05:00,915.744
2020-01-04 09:00,2020-01-04 06:00,922.362
2020-01-04 10:00,2020-01-04 07:00,930.605
2020-01-04 11:00,2020-01-04 08:00,956.532
2020-01-04 12:00,2020-01-04 09:00,965.369
2020-01-04 13:00,2020-01-04 10:00,979.605
2020-01-04 14:00,2020-01-04 11:00,986.472
2020-01-04 15:00,2020-01-04 12:00,990.053
2020-01-04 16:00,2020-01-04 13:00,990.479
2020-01-04 17:00,2020-01-04 14:00,990.982
2020-01-04 18:00,2020-01-04 15:00,991.143
2020-01-04 19:00,2020-01-04 16:00,989.686
2020-01-04 20:00,2020-01-04 17:00,986.384
2020-01-04 21:00,2020-01-04 18:00,986.474
2020-01-04 22:00,2020-01-04 19:00,986.952
2020-01-04 23:00,2020-01-04 20:00,980.566
2020-01-05 00:00,2020-01-04 21:00,968.413
2020-01-05 01:00,2020-01-04 22:00,954.821
2020-01-05 02:00,2020-01-04 23:00,932.706
2020-01-05 03:00,2020-01-05 00:00,908.792
2020-01-05 04:00,2020-01-05 01:00,877.457
2020-01-05 05:00,2020-01-05 02:00,867.593
2020-01-05 06:00,2020-01-05 03:00,877.023
2020-01-05 07:00,2020-01-05 04:00,868.090
2020-01-05 08:00,2020-01-05 05:00,820.413
2020-01-05 09:00,2020-01-05 06:00,717.833
2020-01-05 10:00,2020-01-05 07:00,578.460
2020-01-05 11:00,2020-01-05 08:00,484.219
2020-01-05 12:00,2020-01-05 09:00,402.644
2020-01-05 13:00,2020-01-05 10:00,333.194
2020-01-05 14:00,2020-01-05 11:00,280.702
2020-01-05 15:00,2020-01-05 12:00,286.224
2020-01-05 16:00,2020-01-05 13:00,340.660
2020-01-05 17:00,2020-01-05 14:00,419.644
2020-01-05 18:00,2020-01-05 15:00,481.458
2020-01-05 19:00,2020-01-05 16:00,523.029
2020-01-05 20:00,2020-01-05 17:00,551.613
2020-01-05 21:00,2020-01-05 18:00,556.578
2020-01-05 22:00,2020-01-05 19:00,537.573
2020-01-05 23:00,2020-01-05 20:00,484.211
2020-01-06 00:00,2020-01-05 21:00,415.882
2020-01-06 01:00,2020-01-05 22:00,357.666
2020-01-06 02:00,2020-01-05 23:00,278.019
2020-01-06 03:00,2020-01-06 00:00,210.423
2020-01-06 04:00,2020-01-06 01:00,168.056
