# Renewables.ninja Wind (Point API) - -53.205, -70.997 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Punta_Arenas, electricity in kW
# {"units": {"time": "UTC", "local_time": "America/Punta_Arenas", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "-53.204742539682115", "lon": "-70.99700931815268", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1000", "height": "150", "turbine": "Vestas V90 2000", "raw": false}}
time,local_time,electricity
2020-01-01 00:00,2019-12-31 21:00,210.677
2020-01-01 01:00,2019-12-31 22:00,229.751
2020-01-01 02:00,2019-12-31 23:00,294.494
2020-01-01 03:00,2020-01-01 00:00,420.984
2020-01-01 04:00,2020-01-01 01:00,537.419
2020-01-01 05:00,2020-01-01 02:00,639.923
2020-01-01 06:00,2020-01-01 03:00,704.390
2020-01-01 07:00,2020-01-01 04:00,727.455
2020-01-01 08:00,2020-01-01 05:00,710.600
2020-01-01 09:00,2020-01-01 06:00,623.780
2020-01-01 10:00,2020-01-01 07:00,525.348
2020-01-01 11:00,2020-01-01 08:00,676.806
2020-01-01 12:00,2020-01-01 09:00,841.367
2020-01-01 13:00,2020-01-01 10:00,886.669
2020-01-01 14:00,2020-01-01 11:00,890.876
2020-01-01 15:00,2020-01-01 12:00,906.843
2020-01-01 16:00,2020-01-01 13:00,923.399
2020-01-01 17:00,2020-01-01 14:00,934.692
2020-01-01 18:00,2020-01-01 15:00,941.840
2020-01-01 19:00,2020-01-01 16:00,932.246
2020-01-01 20:00,2020-01-01 17:00,929.755
2020-01-01 21:00,2020-01-01 18:00,911.015
2020-01-01 22:00,2020-01-01 19:00,897.733
2020-01-01 23:00,2020-01-01 20:00,899.310
2020-01-02 00:00,2020-01-01 21:00,854.525
2020-01-02 01:00,2020-01-01 22:00,846.778
2020-01-02 02:00,2020-01-01 23:00,865.449
2020-01-02 03:00,2020-01-02 00:00,870.061
2020-01-02 04:00,2020-01-02 01:00,853.497
2020-01-02 05:00,2020-01-02 02:00,792.406
2020-01-02 06:00,2020-01-02 03:00,788.159
2020-01-02 07:00,2020-01-02 04:00,752.967
2020-01-02 08:00,2020-01-02 05:00,655.473
2020-01-02 09:00,2020-01-02 06:00,530.979
2020-01-02 10:00,2020-01-02 07:00,431.040
2020-01-02 11:00,2020-01-02 08:00,420.101
2020-01-02 12:00,2020-01-02 09:00,414.119
2020-01-02 13:00,2020-01-02 10:00,449.159
